Experiment,rev,typ,Created,parent,State,Executor,accuracy,precision,recall,f1_score,project_name,data_path,processed_data_path,model_path,reports_path,dataset_name,image_size,batch_size,test_split_ratio,validation_split_ratio,epochs,learning_rate,optimizer,momentum,dropout_rate,num_classes,conv1_out_channels,conv2_out_channels,fc1_out_features,data/processed/test_loader.pkl,data/processed/train_loader.pkl,data/processed/val_loader.pkl,data/raw,models/model.pth,src/data_collection.py,src/data_processing.py,src/feature_selection.py,src/model_evaluation.py,src/model_training.py
,workspace,baseline,,,,,0.7277,0.7272110614286718,0.7277,0.7258777313795209,ImageClassificationDVC,data,data/processed,models/model.pth,reports/metrics.json,CIFAR10,32,64,0.2,0.15,15,0.001,Adam,0.9,0.3,10,32,64,128,26db209a9bcf1780ec5c6475b263c0f9,db05c49bb02216ef31bea878fbbdfe54,5e7aa06ba63111e6f144af85cf998267,e252d2c8ba36d1ab3e21a873ab62daa3.dir,638b1d4d19e8c235c5a2533f518660b9,5b37f966444a3bd642f8655da749446f,02888f18d739e27e11fba3d237c1e9a0,e833e72108ad454d32c19e85b47cb1fd,565ad1593e47b54b4e32d15355683c0f,ebb6df3e13a8d53512ef5cf43ebf0e17
,master,baseline,2025-08-20T10:11:00,,,,0.7277,0.7272110614286718,0.7277,0.7258777313795209,ImageClassificationDVC,data,data/processed,models/model.pth,reports/metrics.json,CIFAR10,32,64,0.2,0.15,15,0.001,Adam,0.9,0.25,10,32,64,128,26db209a9bcf1780ec5c6475b263c0f9,db05c49bb02216ef31bea878fbbdfe54,5e7aa06ba63111e6f144af85cf998267,e252d2c8ba36d1ab3e21a873ab62daa3.dir,638b1d4d19e8c235c5a2533f518660b9,5b37f966444a3bd642f8655da749446f,02888f18d739e27e11fba3d237c1e9a0,e833e72108ad454d32c19e85b47cb1fd,565ad1593e47b54b4e32d15355683c0f,ebb6df3e13a8d53512ef5cf43ebf0e17
radio-eyry,938b4ac,branch_commit,2025-08-20T15:42:16,,Success,Dvc-task,0.1,0.01,0.1,0.01818181818181818,ImageClassificationDVC,data,data/processed,models/model.pth,reports/metrics.json,CIFAR10,32,64,0.2,0.15,15,0.01,Adam,0.9,0.3,10,32,64,128,26db209a9bcf1780ec5c6475b263c0f9,db05c49bb02216ef31bea878fbbdfe54,5e7aa06ba63111e6f144af85cf998267,e252d2c8ba36d1ab3e21a873ab62daa3.dir,46141bb0a165962fae89bece07aa2475,5b37f966444a3bd642f8655da749446f,02888f18d739e27e11fba3d237c1e9a0,e833e72108ad454d32c19e85b47cb1fd,565ad1593e47b54b4e32d15355683c0f,ebb6df3e13a8d53512ef5cf43ebf0e17
shoed-vase,d800239,branch_commit,2025-08-20T15:35:06,,Success,Dvc-task,0.1,0.01,0.1,0.01818181818181818,ImageClassificationDVC,data,data/processed,models/model.pth,reports/metrics.json,CIFAR10,32,64,0.2,0.15,15,0.01,Adam,0.9,0.3,10,32,64,128,26db209a9bcf1780ec5c6475b263c0f9,db05c49bb02216ef31bea878fbbdfe54,5e7aa06ba63111e6f144af85cf998267,e252d2c8ba36d1ab3e21a873ab62daa3.dir,46141bb0a165962fae89bece07aa2475,5b37f966444a3bd642f8655da749446f,02888f18d739e27e11fba3d237c1e9a0,e833e72108ad454d32c19e85b47cb1fd,565ad1593e47b54b4e32d15355683c0f,ebb6df3e13a8d53512ef5cf43ebf0e17
about-snot,8960897,branch_commit,2025-08-20T15:18:03,,Success,Dvc-task,0.4962,0.5035117809069469,0.4962,0.4803255142564355,ImageClassificationDVC,data,data/processed,models/model.pth,reports/metrics.json,CIFAR10,32,64,0.2,0.15,10,0.01,Adam,0.9,0.3,10,32,64,128,26db209a9bcf1780ec5c6475b263c0f9,db05c49bb02216ef31bea878fbbdfe54,5e7aa06ba63111e6f144af85cf998267,e252d2c8ba36d1ab3e21a873ab62daa3.dir,af6561c3f00a7d4f5425585dd7705067,5b37f966444a3bd642f8655da749446f,02888f18d739e27e11fba3d237c1e9a0,e833e72108ad454d32c19e85b47cb1fd,565ad1593e47b54b4e32d15355683c0f,ebb6df3e13a8d53512ef5cf43ebf0e17
ohmic-horn,2e12d7d,branch_commit,2025-08-20T15:38:39,,Success,Dvc-task,0.5108,0.5245133386008461,0.5108,0.5070713776177583,ImageClassificationDVC,data,data/processed,models/model.pth,reports/metrics.json,CIFAR10,32,64,0.2,0.15,15,0.01,Adam,0.9,0.2,10,32,64,128,26db209a9bcf1780ec5c6475b263c0f9,db05c49bb02216ef31bea878fbbdfe54,5e7aa06ba63111e6f144af85cf998267,e252d2c8ba36d1ab3e21a873ab62daa3.dir,9a77e32a179a8fe775c0dcfc9f8c7ae1,5b37f966444a3bd642f8655da749446f,02888f18d739e27e11fba3d237c1e9a0,e833e72108ad454d32c19e85b47cb1fd,565ad1593e47b54b4e32d15355683c0f,ebb6df3e13a8d53512ef5cf43ebf0e17
extra-awls,1320c82,branch_commit,2025-08-20T15:30:43,,Success,Dvc-task,0.5108,0.5245133386008461,0.5108,0.5070713776177583,ImageClassificationDVC,data,data/processed,models/model.pth,reports/metrics.json,CIFAR10,32,64,0.2,0.15,15,0.01,Adam,0.9,0.2,10,32,64,128,26db209a9bcf1780ec5c6475b263c0f9,db05c49bb02216ef31bea878fbbdfe54,5e7aa06ba63111e6f144af85cf998267,e252d2c8ba36d1ab3e21a873ab62daa3.dir,9a77e32a179a8fe775c0dcfc9f8c7ae1,5b37f966444a3bd642f8655da749446f,02888f18d739e27e11fba3d237c1e9a0,e833e72108ad454d32c19e85b47cb1fd,565ad1593e47b54b4e32d15355683c0f,ebb6df3e13a8d53512ef5cf43ebf0e17
split-craw,5722553,branch_commit,2025-08-20T14:54:28,,Success,Dvc-task,0.6606,0.6697321528087531,0.6606,0.659541437989203,ImageClassificationDVC,data,data/processed,models/model.pth,reports/metrics.json,CIFAR10,32,64,0.2,0.15,20,0.005,Adam,0.9,0.3,10,32,64,128,26db209a9bcf1780ec5c6475b263c0f9,db05c49bb02216ef31bea878fbbdfe54,5e7aa06ba63111e6f144af85cf998267,e252d2c8ba36d1ab3e21a873ab62daa3.dir,6022f8ef176f22a1f92efce016612e39,5b37f966444a3bd642f8655da749446f,02888f18d739e27e11fba3d237c1e9a0,e833e72108ad454d32c19e85b47cb1fd,565ad1593e47b54b4e32d15355683c0f,ebb6df3e13a8d53512ef5cf43ebf0e17
lived-tyke,ada9318,branch_commit,2025-08-20T14:24:12,,Success,Dvc-task,0.7076,0.7084312199361505,0.7076,0.7067830332371309,ImageClassificationDVC,data,data/processed,models/model.pth,reports/metrics.json,CIFAR10,32,64,0.2,0.15,15,0.001,Adam,0.9,0.3,10,16,64,128,26db209a9bcf1780ec5c6475b263c0f9,db05c49bb02216ef31bea878fbbdfe54,5e7aa06ba63111e6f144af85cf998267,e252d2c8ba36d1ab3e21a873ab62daa3.dir,89ab34304c24a644b0b110f3a8420d55,5b37f966444a3bd642f8655da749446f,02888f18d739e27e11fba3d237c1e9a0,e833e72108ad454d32c19e85b47cb1fd,565ad1593e47b54b4e32d15355683c0f,ebb6df3e13a8d53512ef5cf43ebf0e17
chill-raid,c5f046c,branch_commit,2025-08-20T14:22:44,,Success,Dvc-task,0.7155,0.7195430725209387,0.7155,0.7168333898281464,ImageClassificationDVC,data,data/processed,models/model.pth,reports/metrics.json,CIFAR10,32,64,0.2,0.15,15,0.001,Adam,0.9,0.3,10,16,32,128,26db209a9bcf1780ec5c6475b263c0f9,db05c49bb02216ef31bea878fbbdfe54,5e7aa06ba63111e6f144af85cf998267,e252d2c8ba36d1ab3e21a873ab62daa3.dir,c636e78806b9f56852561db24c2cb757,5b37f966444a3bd642f8655da749446f,02888f18d739e27e11fba3d237c1e9a0,e833e72108ad454d32c19e85b47cb1fd,565ad1593e47b54b4e32d15355683c0f,ebb6df3e13a8d53512ef5cf43ebf0e17
